layer,head,nmse,cos_sim
10,12,1.278538e-03,0.999303
10,13,1.146397e-03,0.999543
11,all,2.234958e-03,0.998201
11,0,1.699020e-03,0.999136
11,1,1.764374e-03,0.998955
11,2,1.499772e-03,0.998969
11,3,1.864579e-03,0.998890
11,4,1.807862e-03,0.998822
11,5,1.734162e-03,0.999066
11,6,1.135719e-03,0.999315
11,7,2.164951e-04,0.999892
11,8,4.171171e-03,0.995884
11,9,6.077696e-03,0.998249
11,10,5.980812e-03,0.993989
11,11,5.700366e-04,0.999787
11,12,4.465305e-03,0.993963
11,13,2.153773e-04,0.999893
12,all,7.060787e-04,0.999653
12,0,2.769503e-04,0.999973
12,1,1.860260e-04,0.999923
12,2,1.169121e-03,0.999573
12,3,4.625095e-04,0.999761
12,4,6.478110e-04,0.999707
12,5,3.973678e-04,0.999846
12,6,9.535844e-04,0.999601
12,7,8.724299e-04,0.999596
12,8,1.158662e-03,0.999486
12,9,8.576267e-04,0.999568
12,10,1.044937e-03,0.999490
12,11,8.372634e-04,0.999467
12,12,1.097549e-03,0.999491
12,13,7.940949e-04,0.999659
13,all,6.342955e-04,0.999666
13,0,8.847011e-04,0.999528
13,1,9.264906e-04,0.999558
13,2,1.015088e-03,0.999467
13,3,2.355435e-04,0.999952
13,4,7.260593e-04,0.999646
13,5,8.187146e-04,0.999587
13,6,8.649432e-04,0.999563
13,7,3.344925e-04,0.999796
13,8,5.243253e-04,0.999758
13,9,5.600459e-04,0.999630
13,10,7.393491e-04,0.999687
13,11,4.646712e-04,0.999727
13,12,5.365767e-04,0.999728
13,13,4.833711e-04,0.999701
14,all,9.475981e-04,0.999414
14,0,3.533826e-03,0.998686
14,1,4.086449e-04,0.999970
14,2,2.672615e-03,0.999195
14,3,2.533523e-03,0.998813
14,4,2.029523e-03,0.999280
14,5,2.346000e-03,0.999211
14,6,2.871020e-03,0.998515
14,7,9.137594e-04,0.999621
14,8,4.367149e-04,0.999820
14,9,7.003970e-04,0.999624
14,10,4.396590e-04,0.999942
14,11,1.099953e-03,0.999541
14,12,4.147693e-04,0.999806
14,13,5.657424e-04,0.999774
15,all,1.014106e-03,0.999558
15,0,1.263789e-03,0.999461
15,1,5.550265e-04,0.999848
15,2,9.170001e-04,0.999821
15,3,1.746908e-03,0.999349
15,4,2.542181e-03,0.999051
15,5,3.249804e-03,0.998628
15,6,9.024764e-04,0.999537
15,7,4.498480e-04,0.999796
15,8,6.540213e-04,0.999704
15,9,5.376543e-04,0.999747
15,10,8.857149e-04,0.999641
15,11,5.925801e-04,0.999727
15,12,5.919659e-04,0.999745
15,13,5.394803e-04,0.999754
16,all,1.333791e-03,0.999441
16,0,1.062079e-03,0.999464
16,1,7.043537e-04,0.999911
16,2,1.392579e-03,0.999195
16,3,7.776907e-04,0.999467
16,4,1.665403e-03,0.999511
16,5,2.620434e-03,0.998935
16,6,1.427262e-03,0.999396
16,7,6.774379e-04,0.999528
16,8,1.169353e-03,0.999385
16,9,7.293904e-04,0.999837
16,10,1.431388e-03,0.999501
16,11,2.072403e-03,0.999093
16,12,8.548665e-04,0.999451
16,13,1.358147e-03,0.999494
17,all,7.052770e-04,0.999328
17,0,2.177056e-04,0.999900
17,1,2.243988e-04,0.999894
17,2,1.476840e-04,0.999929
17,3,1.408047e-04,0.999930
17,4,2.394612e-04,0.999890
17,5,1.677776e-04,0.999914
17,6,2.791562e-04,0.999867
17,7,1.111765e-03,0.999206
17,8,2.557245e-03,0.998335
17,9,3.314417e-03,0.998530
17,10,2.048609e-03,0.998968
17,11,2.189222e-03,0.998896
17,12,2.799560e-03,0.998778
17,13,2.614683e-03,0.998554
18,all,1.015946e-03,0.999402
18,0,7.296955e-04,0.999496
18,1,5.071157e-04,0.999205
18,2,1.187052e-03,0.999463
18,3,1.808515e-03,0.998725
18,4,1.019458e-03,0.999271
18,5,1.121082e-03,0.998850
18,6,1.067697e-03,0.999514
18,7,1.248347e-03,0.999427
18,8,1.244603e-03,0.999511
18,9,8.031046e-04,0.999754
18,10,7.606321e-04,0.999669
18,11,7.320864e-04,0.999634
18,12,1.205960e-03,0.999520
18,13,7.324017e-04,0.999591
19,all,1.453546e-03,0.999224
19,0,3.735328e-03,0.998199
19,1,4.411410e-03,0.998479
19,2,1.522701e-03,0.999331
19,3,5.013149e-03,0.997977
19,4,2.402057e-03,0.998743
19,5,2.161779e-03,0.999143
19,6,1.023242e-03,0.999479
19,7,1.070404e-03,0.999565
19,8,6.813161e-04,0.999894
19,9,6.434682e-04,0.999741
19,10,9.446827e-04,0.999620
19,11,6.154088e-04,0.999752
19,12,4.938064e-04,0.999775
19,13,1.133789e-03,0.999434
20,all,3.804192e-04,0.999708
20,0,1.496153e-03,0.999378
20,1,7.504844e-04,0.999643
20,2,1.514903e-03,0.999355
20,3,9.877932e-04,0.999625
20,4,1.225967e-03,0.999481
20,5,1.126059e-03,0.999519
20,6,4.472260e-04,0.999743
20,7,2.231671e-04,0.999895
20,8,2.413714e-04,0.999886
20,9,2.732791e-04,0.999877
20,10,2.043589e-04,0.999898
20,11,2.546622e-04,0.999872
20,12,2.554902e-04,0.999878
20,13,3.146616e-04,0.999861
21,all,3.535916e-04,0.999597
21,0,3.273303e-04,0.999864
21,1,3.576587e-04,0.999850
21,2,3.773118e-04,0.999842
21,3,2.664555e-04,0.999880
21,4,2.820306e-04,0.999873
21,5,2.508524e-04,0.999887
21,6,3.494385e-04,0.999859
21,7,1.889330e-03,0.999307
21,8,1.138961e-03,0.999500
21,9,2.086203e-04,0.999942
21,10,1.699597e-03,0.998899
21,11,8.179581e-04,0.999545
21,12,2.494943e-03,0.998926
21,13,1.670793e-03,0.999188
22,all,4.310826e-04,0.999816
22,0,7.820503e-04,0.999735
22,1,3.383307e-04,0.999833
22,2,2.268413e-04,0.999874
22,3,3.489137e-04,0.999843
22,4,1.016581e-03,0.999653
22,5,3.218667e-04,0.999831
22,6,3.143568e-04,0.999862
22,7,3.542425e-04,0.999856
22,8,6.257994e-04,0.999735
22,9,4.600422e-04,0.999831
22,10,3.530296e-04,0.999852
22,11,3.321126e-04,0.999865
22,12,3.756370e-04,0.999818
22,13,3.739935e-04,0.999843
23,all,1.878437e-04,0.999893
23,0,1.777277e-04,0.999928
23,1,4.753180e-05,0.999974
23,2,2.856546e-04,0.999891
23,3,1.801416e-04,0.999944
23,4,2.010365e-04,0.999901
23,5,1.058008e-04,0.999950
23,6,3.632611e-04,0.999852
23,7,2.925699e-04,0.999878
23,8,3.319740e-04,0.999865
23,9,3.649089e-04,0.999866
23,10,2.942848e-04,0.999873
23,11,2.217894e-04,0.999883
23,12,3.829254e-04,0.999822
23,13,3.165759e-04,0.999869
