layer_00.k.bin,0,k,4096,0,64,1,130.500000,19167.361328,0.073118
layer_00.k.bin,0,k,4096,1,64,1,125.687500,19997.363281,0.076284
layer_00.v.bin,0,v,4096,0,64,1,0.270996,0.099409,0.000000
layer_00.v.bin,0,v,4096,1,64,1,0.189941,0.049408,0.000000
layer_01.k.bin,1,k,4096,0,64,1,21.640625,634.492981,0.002420
layer_01.k.bin,1,k,4096,1,64,1,149.875000,30299.361328,0.115583
layer_01.v.bin,1,v,4096,0,64,1,1.654297,3.710140,0.000014
layer_01.v.bin,1,v,4096,1,64,1,3.083984,12.864897,0.000049
layer_02.k.bin,2,k,4096,0,64,1,41.781250,2370.078857,0.009041
layer_02.k.bin,2,k,4096,1,64,1,63.687500,5481.938965,0.020912
layer_02.v.bin,2,v,4096,0,64,1,2.472656,8.272029,0.000032
layer_02.v.bin,2,v,4096,1,64,1,2.773438,10.448030,0.000040
layer_03.k.bin,3,k,4096,0,64,1,15.609375,329.697174,0.001258
layer_03.k.bin,3,k,4096,1,64,1,26.203125,930.582825,0.003550
layer_03.v.bin,3,v,4096,0,64,1,3.472656,16.332050,0.000062
layer_03.v.bin,3,v,4096,1,64,1,3.998047,21.592653,0.000082
layer_04.k.bin,4,k,4096,0,64,1,16.406250,364.352234,0.001390
layer_04.k.bin,4,k,4096,1,64,1,19.453125,513.426636,0.001959
layer_04.v.bin,4,v,4096,0,64,1,3.310547,14.838284,0.000057
layer_04.v.bin,4,v,4096,1,64,1,3.679688,18.379162,0.000070
layer_05.k.bin,5,k,4096,0,64,1,13.359375,241.430359,0.000921
layer_05.k.bin,5,k,4096,1,64,1,11.179688,169.326233,0.000646
layer_05.v.bin,5,v,4096,0,64,1,4.406250,26.341547,0.000100
layer_05.v.bin,5,v,4096,1,64,1,3.658203,18.135698,0.000069
layer_06.k.bin,6,k,4096,0,64,1,10.343750,144.717285,0.000552
layer_06.k.bin,6,k,4096,1,64,1,10.796875,157.690796,0.000602
layer_06.v.bin,6,v,4096,0,64,1,2.898438,11.374599,0.000043
layer_06.v.bin,6,v,4096,1,64,1,4.488281,27.282572,0.000104
layer_07.k.bin,7,k,4096,0,64,1,13.960938,263.832306,0.001006
layer_07.k.bin,7,k,4096,1,64,1,10.031250,135.787369,0.000518
layer_07.v.bin,7,v,4096,0,64,1,4.410156,26.357956,0.000101
