layer,head,nmse,cos_sim
8,12,1.750336e-03,0.999196
8,13,1.531597e-03,0.999209
9,all,2.537772e-03,0.996854
9,0,2.067638e-03,0.998769
9,1,1.818947e-03,0.999289
9,2,2.759864e-03,0.998286
9,3,2.780005e-03,0.998535
9,4,2.676121e-03,0.998051
9,5,2.312900e-03,0.998539
9,6,2.373367e-03,0.998389
9,7,7.490461e-03,0.996521
9,8,4.648639e-03,0.995587
9,9,8.265517e-03,0.996177
9,10,4.895575e-03,0.994461
9,11,4.009331e-03,0.992993
9,12,3.470792e-03,0.994301
9,13,1.205466e-03,0.996061
10,all,1.337549e-03,0.999223
10,0,1.664262e-03,0.999065
10,1,2.504320e-03,0.998599
10,2,2.342249e-03,0.998965
10,3,1.463404e-03,0.999259
10,4,1.836348e-03,0.998995
10,5,9.400737e-04,0.999591
10,6,5.339044e-04,0.999820
10,7,1.629647e-03,0.999262
10,8,1.615027e-03,0.999132
10,9,7.076437e-04,0.999665
10,10,1.151192e-03,0.999336
10,11,2.295979e-03,0.999008
10,12,1.473508e-03,0.999041
10,13,1.350431e-03,0.999390
11,all,2.668689e-03,0.993140
11,0,1.832899e-03,0.999036
11,1,2.357229e-03,0.998649
11,2,1.683894e-03,0.998811
11,3,2.193496e-03,0.998669
11,4,2.006560e-03,0.998666
11,5,1.917890e-03,0.998926
11,6,1.277141e-03,0.999198
11,7,3.773663e-02,0.987334
11,8,4.035022e-03,0.989675
11,9,7.810386e-03,0.986924
11,10,6.378360e-03,0.986044
11,11,3.809468e-02,0.987148
11,12,4.672536e-03,0.987538
11,13,3.771202e-02,0.987349
12,all,1.091883e-03,0.999054
12,0,7.197586e-04,0.999689
12,1,3.613896e-04,0.999790
12,2,2.047713e-03,0.998797
12,3,4.971377e-03,0.996146
12,4,3.327557e-03,0.997570
12,5,6.801144e-04,0.999631
12,6,1.192238e-03,0.999433
12,7,1.029797e-03,0.999438
12,8,1.271998e-03,0.999400
12,9,9.854942e-04,0.999434
12,10,1.291367e-03,0.999261
12,11,1.030243e-03,0.999228
12,12,1.229511e-03,0.999392
12,13,9.314236e-04,0.999550
13,all,1.052982e-03,0.998699
13,0,1.087763e-03,0.999345
13,1,1.039923e-03,0.999468
13,2,1.797285e-03,0.998948
13,3,3.971166e-04,0.999858
13,4,8.139080e-04,0.999583
13,5,1.033938e-03,0.999440
13,6,1.629627e-03,0.999091
13,7,1.538926e-03,0.998232
13,8,5.834340e-03,0.996675
13,9,1.432320e-03,0.997759
13,10,1.044845e-03,0.999315
13,11,9.916539e-04,0.998608
13,12,2.097890e-03,0.997758
13,13,1.350883e-03,0.997708
14,all,1.131342e-03,0.998871
14,0,4.240326e-03,0.997195
14,1,6.465730e-04,0.999813
14,2,2.917158e-03,0.998893
14,3,3.335137e-03,0.997268
14,4,2.257682e-03,0.999008
14,5,2.980753e-03,0.998322
14,6,3.607016e-03,0.996222
14,7,9.780556e-04,0.999558
14,8,5.410089e-04,0.999724
14,9,8.254924e-04,0.999473
14,10,5.718824e-04,0.999859
14,11,1.235263e-03,0.999412
14,12,4.839212e-04,0.999733
14,13,6.208039e-04,0.999715
15,all,1.263369e-03,0.999288
15,0,1.363450e-03,0.999378
15,1,7.480609e-04,0.999701
15,2,1.119005e-03,0.999709
15,3,1.901506e-03,0.999258
15,4,2.752687e-03,0.998898
15,5,3.620715e-03,0.998298
15,6,1.580695e-03,0.998940
15,7,6.779965e-04,0.999588
15,8,9.703120e-04,0.999351
15,9,6.689223e-04,0.999599
15,10,1.209897e-03,0.999374
15,11,7.784793e-04,0.999501
15,12,1.560124e-03,0.998912
15,13,7.448466e-04,0.999519
16,all,4.528939e-03,0.946513
16,0,4.158856e-03,0.929533
16,1,1.891418e-01,0.884097
16,2,4.000220e-03,0.953318
16,3,5.349788e-03,0.918675
16,4,1.651653e-02,0.942037
16,5,5.801224e-03,0.951988
16,6,1.126758e-02,0.926633
16,7,2.920686e-03,0.964315
16,8,6.802300e-03,0.940781
16,9,1.249183e-02,0.915033
16,10,1.895729e-03,0.996072
16,11,4.678921e-03,0.985894
16,12,3.909896e-03,0.961237
16,13,7.810466e-03,0.981566
17,all,1.139604e-03,0.993858
17,0,2.449438e-04,0.999884
17,1,3.121573e-04,0.999844
17,2,1.710972e-04,0.999915
17,3,1.712617e-04,0.999911
17,4,3.180692e-04,0.999847
17,5,2.727981e-04,0.999860
17,6,4.292877e-04,0.999787
17,7,6.599605e-03,0.978463
17,8,7.152318e-03,0.983874
17,9,5.169932e-03,0.990631
17,10,2.676928e-03,0.995259
17,11,3.384792e-03,0.992428
17,12,1.696358e-02,0.981236
17,13,3.526215e-03,0.993080
18,all,1.664061e-03,0.996397
18,0,4.096563e-03,0.993035
18,1,2.085672e-03,0.991719
18,2,1.697876e-03,0.997950
18,3,2.780697e-03,0.995267
18,4,2.056867e-03,0.995659
18,5,2.914911e-03,0.992445
18,6,1.755658e-03,0.997568
18,7,1.806335e-03,0.996782
18,8,1.818073e-03,0.997842
18,9,1.020854e-03,0.999465
18,10,1.007311e-03,0.998457
18,11,9.218246e-04,0.998880
18,12,1.516293e-03,0.998552
18,13,1.817197e-03,0.995932
19,all,1.793498e-03,0.998105
19,0,4.515490e-03,0.996539
19,1,5.037514e-03,0.997368
19,2,3.901500e-03,0.994945
19,3,5.806436e-03,0.996374
19,4,2.743410e-03,0.997593
19,5,2.581471e-03,0.998644
19,6,2.412438e-03,0.996598
19,7,1.640369e-03,0.999007
19,8,8.398841e-04,0.999789
19,9,7.628595e-04,0.999540
19,10,1.117194e-03,0.999346
19,11,7.019804e-04,0.999693
19,12,5.467159e-04,0.999714
19,13,1.847959e-03,0.998313
20,all,8.225616e-04,0.999113
20,0,2.395942e-03,0.997237
20,1,1.346143e-03,0.998236
20,2,1.714364e-03,0.998803
20,3,1.168831e-03,0.999276
20,4,1.769194e-03,0.998691
20,5,1.461276e-03,0.998638
20,6,5.183575e-04,0.999346
20,7,5.894746e-04,0.999699
20,8,7.544319e-04,0.999605
20,9,7.847852e-04,0.999612
20,10,7.711774e-04,0.999609
20,11,1.030102e-03,0.999487
20,12,6.777343e-04,0.999615
20,13,5.680245e-04,0.999725
21,all,8.660572e-04,0.995458
21,0,6.183557e-04,0.999713
21,1,5.898841e-04,0.999711
21,2,7.039513e-04,0.999667
21,3,6.015061e-04,0.999706
21,4,6.615556e-04,0.999681
21,5,5.980402e-04,0.999710
21,6,5.708819e-04,0.999728
21,7,9.872242e-03,0.986825
21,8,5.589065e-03,0.991657
21,9,4.885450e-04,0.999525
21,10,8.792127e-03,0.987514
21,11,2.554422e-03,0.993051
21,12,7.889666e-03,0.990407
21,13,7.618142e-03,0.989519
22,all,1.106257e-03,0.999152
22,0,1.621436e-03,0.998974
22,1,1.372172e-03,0.998917
22,2,7.303032e-04,0.999066
22,3,1.248217e-03,0.998965
22,4,2.004873e-03,0.998849
22,5,1.205044e-03,0.998789
22,6,9.583836e-04,0.999176
22,7,8.697226e-04,0.999435
22,8,1.546335e-03,0.999168
22,9,9.506634e-04,0.999361
22,10,1.171757e-03,0.999365
22,11,6.437083e-04,0.999498
22,12,1.346989e-03,0.999151
22,13,7.150085e-04,0.999417
23,all,4.550611e-04,0.999623
23,0,2.842310e-04,0.999876
23,1,3.436999e-04,0.999696
23,2,3.706779e-04,0.999844
23,3,2.672028e-04,0.999887
23,4,4.487822e-04,0.999742
23,5,3.637204e-04,0.999829
23,6,6.375895e-04,0.999702
23,7,6.781524e-04,0.999477
23,8,7.791329e-04,0.999425
23,9,7.537249e-04,0.999495
23,10,7.686518e-04,0.999451
23,11,5.589115e-04,0.999512
23,12,8.232041e-04,0.999319
23,13,7.359042e-04,0.999474
