layer,head,nmse,cos_sim
0,all,2.379381e-01,0.836854
0,0,3.783100e-01,0.809533
0,1,1.348299e-02,0.995178
0,2,7.221824e-02,0.970460
0,3,5.371025e-01,0.817313
0,4,6.370883e-02,0.969897
0,5,7.343635e-02,0.964086
0,6,8.775412e-02,0.959587
0,7,6.360611e-02,0.975140
0,8,1.164770e+00,0.706540
0,9,5.963513e-01,0.759237
0,10,1.100145e+00,0.355603
0,11,2.929205e-01,0.812283
0,12,2.979932e-01,0.868796
0,13,4.215937e-01,0.752306
1,all,9.230699e-03,0.997132
1,0,1.970875e-03,0.998623
1,1,1.674804e-03,0.999117
1,2,1.799582e-03,0.998897
1,3,1.567167e-03,0.999181
1,4,1.333967e-03,0.999079
1,5,1.009277e-03,0.999443
1,6,1.588407e-03,0.998891
1,7,3.833304e-03,0.998158
1,8,2.136050e-02,0.989750
1,9,1.648561e-02,0.991817
1,10,7.175141e-03,0.996512
1,11,9.248627e-03,0.995571
1,12,6.598091e-03,0.996898
1,13,4.335820e-03,0.997916
2,all,6.084707e-03,0.995974
2,0,4.184435e-03,0.997953
2,1,8.688362e-03,0.995243
2,2,5.324681e-03,0.996694
2,3,4.376503e-03,0.997676
2,4,7.274278e-03,0.996334
2,5,1.874047e-03,0.999061
2,6,6.481942e-03,0.996736
2,7,5.844141e-03,0.994596
2,8,4.552042e-03,0.996772
2,9,5.208570e-03,0.995130
2,10,1.432046e-02,0.991980
2,11,1.060612e-02,0.994014
2,12,1.172691e-02,0.994659
2,13,8.468815e-03,0.996789
3,all,2.873983e-03,0.994750
3,0,3.542811e-03,0.989944
3,1,8.011599e-04,0.999650
3,2,3.212506e-03,0.991989
3,3,1.104368e-03,0.998673
3,4,7.239551e-03,0.987045
3,5,1.472279e-02,0.988672
3,6,7.128029e-04,0.999555
3,7,7.060084e-03,0.996059
3,8,2.543713e-03,0.996479
3,9,5.667929e-03,0.992783
3,10,2.419239e-03,0.998448
3,11,3.825272e-03,0.994788
3,12,3.736803e-03,0.996674
3,13,3.725240e-03,0.995745
4,all,1.861106e-03,0.998664
4,0,3.500904e-03,0.997817
4,1,3.793298e-03,0.997729
4,2,1.195722e-03,0.999642
4,3,3.623084e-03,0.997879
4,4,3.995933e-03,0.998099
4,5,3.008798e-03,0.998120
4,6,4.327729e-03,0.997749
4,7,1.035663e-03,0.999399
4,8,2.380166e-03,0.998737
4,9,1.921134e-03,0.998932
4,10,2.920045e-03,0.998728
4,11,1.964951e-03,0.999078
4,12,7.595905e-04,0.999780
4,13,7.290044e-04,0.999611
5,all,1.963870e-03,0.997495
5,0,7.082626e-03,0.992940
5,1,3.186917e-03,0.997258
5,2,7.264411e-03,0.992396
5,3,3.478505e-03,0.995790
5,4,2.316792e-03,0.997066
5,5,2.727757e-03,0.996760
5,6,3.439507e-03,0.998514
5,7,1.450672e-03,0.998902
5,8,3.659986e-04,0.999745
5,9,1.327137e-03,0.999465
5,10,2.628939e-03,0.998477
5,11,2.037606e-03,0.998842
5,12,1.694515e-03,0.999082
5,13,4.596806e-04,0.999689
6,all,1.461772e-03,0.999115
6,0,5.585175e-04,0.999633
6,1,9.262014e-04,0.999565
6,2,3.724804e-04,0.999780
6,3,4.699013e-04,0.999744
6,4,1.137623e-03,0.999493
6,5,6.965901e-04,0.999644
6,6,1.198761e-03,0.999421
6,7,1.320996e-03,0.999057
6,8,1.336677e-03,0.999122
6,9,1.901395e-03,0.998958
6,10,2.118285e-03,0.998620
6,11,3.402515e-03,0.997321
6,12,2.600570e-03,0.998084
6,13,8.899440e-04,0.999169
7,all,2.735505e-03,0.996913
7,0,1.691099e-03,0.997855
7,1,4.625440e-03,0.996332
7,2,5.312930e-03,0.995605
7,3,4.777793e-03,0.996591
7,4,2.931886e-03,0.998535
7,5,5.312866e-03,0.995658
7,6,5.521417e-03,0.995271
7,7,1.799310e-03,0.997080
7,8,2.824457e-03,0.996265
7,9,1.766144e-03,0.997815
7,10,1.733391e-03,0.997244
7,11,4.125078e-03,0.996014
7,12,1.154238e-03,0.998949
7,13,2.094073e-03,0.997571
8,all,3.679118e-02,0.980015
8,0,8.345666e-02,0.972067
8,1,8.774316e-02,0.962074
8,2,1.089584e-01,0.954693
8,3,3.198388e-03,0.998348
8,4,1.631179e-01,0.930458
8,5,1.092784e-01,0.954630
8,6,1.001266e-01,0.954071
8,7,4.324526e-04,0.999794
8,8,1.666198e-03,0.999032
8,9,2.001307e-03,0.998706
8,10,1.358915e-03,0.998983
8,11,2.148823e-03,0.998951
